NAME OF HOSPITAL	LOCATION
Srisangwan Hospital	Mae Hong Son
Borabue Hospital	Maha Sarakham
Chiang Yuen Hospital	Maha Sarakham
Kadam Hospital	Maha Sarakham
Kantharawichai Hospital	Maha Sarakham
Kosum Phisai Hospital	Maha Sarakham
Maha Sarakham Hospital	Maha Sarakham
Na Chueak Hospital	Maha Sarakham
Na Dun Hospital	Maha Sarakham
Phayakkhaphum Phisai Hospital	Maha Sarakham
Wapi Pathum Hospital	Maha Sarakham
Yang Si Surat Hospital	Maha Sarakham
Don Tan Hospital	Mukdahan
Dong Luang Hospital	Mukdahan
Khamcha-i Hospital	Mukdahan
Mukdahan Hospital	Mukdahan
Nikhom Kham Soi Hospital	Mukdahan
Nong Sung Hospital	Mukdahan
Wan Yai Hospital	Mukdahan
Ban Na Hospital	Nakhon Nayok
Chulachomklao Royal Military Academy Hospital	Nakhon Nayok
HRH Princess Maha Chakri Sirindhorn Medical Center	Nakhon Nayok
Medical Division, Armed Forces Academies Preparatory School	Nakhon Nayok
Nakhon Nayok Hospital	Nakhon Nayok
Ongkharak Hospital	Nakhon Nayok
Pak Phli Hospital	Nakhon Nayok
Bang Len Hospital	Nakhon Pathom
Chandrubeksa Hospital	Nakhon Pathom
Don Tum Hospital	Nakhon Pathom
Golden Jubilee Medical Center Mahidol University	Nakhon Pathom
Huai Phlu Hospital	Nakhon Pathom
Kamphaeng Saen Hospital	Nakhon Pathom
Luang Pho Poen Hospital	Nakhon Pathom
Mettapracharak Watraikhing Hospital	Nakhon Pathom
Nakhon Chai Si Hospital	Nakhon Pathom
Nakhon Pathom Hospital	Nakhon Pathom
Phutthamonthon Hospital	Nakhon Pathom
Sam Phran Hospital	Nakhon Pathom
Tulakan Chaloem Phrakiat Hospital	Nakhon Pathom
Ban Phaeng Hospital	Nakhon Phanom
Fort Phrayotmueangkhwang Hospital	Nakhon Phanom
Na Kae Hospital	Nakhon Phanom
Na Thom Hospital	Nakhon Phanom
Na Wa Hospital	Nakhon Phanom
Nakhon Phanom Hospital	Nakhon Phanom
Nakhon Phanom Rajanakarindra Psychiatric Hospital	Nakhon Phanom
Phon Sawan Hospital	Nakhon Phanom
Pla Pak Hospital	Nakhon Phanom
Renu Nakhon Hospital	Nakhon Phanom
Si Songkhram Hospital	Nakhon Phanom
Tha Uthen Hospital	Nakhon Phanom
That Phanom Crown Prince Hospital	Nakhon Phanom
Ban Lueam Hospital	Nakhon Ratchasima
Bua Yai Hospital	Nakhon Ratchasima
Chakkarat Hospital	Nakhon Ratchasima
Chok Chai Hospital	Nakhon Ratchasima
Chum Phuang Hospital	Nakhon Ratchasima
Dan Khun Thot Hospital	Nakhon Ratchasima
Fort Suranari Hospital	Nakhon Ratchasima
Health Promotion Hospital, 5th Regional Health Promotion Center	Nakhon Ratchasima
Health Promotion Hospital, 5th Regional Health Promotion Center	Nakhon Ratchasima
Huai Thalaeng Hospital	Nakhon Ratchasima
Kaeng Sanam Nang Hospital	Nakhon Ratchasima
Kham Sakae Saeng Hospital	Nakhon Ratchasima
Kham Thale So Hospital	Nakhon Ratchasima
Khon Buri Hospital	Nakhon Ratchasima
Khong Hospital	Nakhon Ratchasima
Lam Thamen Chai Hospital	Nakhon Ratchasima
Maharat Nakhon Ratchasima Hospital	Nakhon Ratchasima
Mueang Yang Hospital	Nakhon Ratchasima
Nakhon Ratchasima Hospital	Nakhon Ratchasima
Nakhon Ratchasima Rajanakarindra Psychiatric Hospital	Nakhon Ratchasima
Non Daeng Hospital	Nakhon Ratchasima
Non Sung Hospital	Nakhon Ratchasima
Non Thai Hospital	Nakhon Ratchasima
Nong Bunnak Hospital	Nakhon Ratchasima
Pak Chong Nana Hospital	Nakhon Ratchasima
Pak Thong Chai Hospital	Nakhon Ratchasima
Phimai Hospital	Nakhon Ratchasima
Phra Thongkham Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday	Nakhon Ratchasima
Prathai Hospital	Nakhon Ratchasima
Royal Thai Air Force Wing 1 Hospital	Nakhon Ratchasima
Sikhio Hospital	Nakhon Ratchasima
Soeng Sang Hospital	Nakhon Ratchasima
Sung Noen Hospital	Nakhon Ratchasima
Wang Nam Khiao Hospital	Nakhon Ratchasima
Banphot Phisai Hospital	Nakhon Sawan
Chum Saeng Hospital	Nakhon Sawan
Fort Jiraprawat Hospital	Nakhon Sawan
Health Promotion Hospital, 8th Regional Health Promotion Center	Nakhon Sawan
Kao Liao Hospital	Nakhon Sawan
Krok Phra Hospital	Nakhon Sawan
Lat Yao Hospital	Nakhon Sawan
Mae Wong Hospital	Nakhon Sawan
Nakhon Sawan Rajanakarindra Psychiatric Hospital	Nakhon Sawan
Naresuan University Hospital	Nakhon Sawan
Nong Bua Hospital	Nakhon Sawan
Phaisali Hospital	Nakhon Sawan
Phayuha Khiri Hospital	Nakhon Sawan
Royal Thai Air Force Wing 4 Hospital	Nakhon Sawan
Sawan Pracharak Hospital	Nakhon Sawan
Tak Fa Hospital	Nakhon Sawan
Takhli Hospital	Nakhon Sawan
Tha Tako Hospital	Nakhon Sawan
Bang Khan Hospital	Nakhon Si Thammarat
Cha-uat Hospital	Nakhon Si Thammarat
Chawang Crown Prince Hospital	Nakhon Si Thammarat
Chian Yai Hospital	Nakhon Si Thammarat
Chulabhorn Hospital	Nakhon Si Thammarat
Fort Thepsatrisisunthon Hospital	Nakhon Si Thammarat
